mode,question_id,question,question_type,rank_of_correct_url,generated_answer,latency_sec,entity_coverage,hallucinated,confidence,correct,error_type,judge_accuracy,judge_completeness,judge_relevance,judge_coherence,judge_explanation
dense,72,Tell me more about the 'various factors' involved in Geography.,ambiguous,1,"I cannot answer this from the provided context. These branches use similar geographic philosophies, concepts, and tools and often overlap significantly,",25.414,1.0,0,1.0,1,success,,,,,
dense,73,Tell me more about the 'various factors' involved in Human behavior.,ambiguous,1,"I cannot answer this from the provided context. Human behavior is the potential and expressed capacity (mentally, physically, and socially) of",34.637,1.0,0,1.0,1,success,,,,,
dense,74,Tell me more about the 'various factors' involved in Football (ball).,ambiguous,3,I cannot answer this from the provided context. A football is a ball inflated with air that is used to,26.827,1.0,0,0.333,1,success,,,,,
dense,75,Tell me more about the 'various factors' involved in Jurisdiction.,ambiguous,1,I cannot answer this from the provided context. Extraterritorial jurisdiction is exercised through three principles outlined in the UN charter.,25.641,1.0,0,1.0,1,success,,,,,
dense,76,Tell me more about the 'various factors' involved in Boston Celtics.,ambiguous,1,I cannot answer this from the provided context because there isn't sufficient information to answer the question.,22.112,1.0,0,1.0,1,success,,,,,
dense,77,Tell me more about the 'various factors' involved in Biophysics.,ambiguous,1,I cannot answer this from the provided context. Nor does each subject of study belong exclusively to any particular department.,22.732,1.0,0,1.0,1,success,,,,,
dense,78,Tell me more about the 'various factors' involved in Fluid dynamics.,ambiguous,2,I cannot answer this from the provided context. Non-Newtonian fluids have a more complicat [Source 4] to these viscou,30.341,1.0,0,0.5,1,success,,,,,
dense,79,Tell me more about the 'various factors' involved in History of mathematics.,ambiguous,3,"I cannot answer this from the provided context. These applications may be completely outside their initial area of mathematics, and may concern physical phenomena",26.695,1.0,0,0.333,1,context_failure,,,,,
dense,80,Which modern criticisms of Gene are NOT addressed in the text?,negated,3,"I cannot answer this from the provided context. ""Published GMO studies find no evidence of harm when corrected for multiple",28.823,0.0,1,0.333,1,generation_failure,,,,,
dense,81,Which modern criticisms of Folklore are NOT addressed in the text?,negated,1,I cannot answer this from the provided context. The Historic–Geographic Method worked to isolate and track these collected artifacts,26.11,0.0,1,1.0,1,generation_failure,,,,,
dense,82,Which modern criticisms of Ichthyology are NOT addressed in the text?,negated,1,I cannot answer this from the provided context. This fallacy would later be repudiated by the theorists,25.067,1.0,0,1.0,1,success,,,,,
dense,83,Which modern criticisms of Communication are NOT addressed in the text?,negated,1,I cannot answer this from the provided context. Some works in it try to provide a general characterization of communication in the widest sense.,26.341,1.0,0,1.0,1,success,,,,,
dense,84,Which modern criticisms of Ballistics are NOT addressed in the text?,negated,1,"I cannot answer this from the provided context. This threat of national, if not global, destruction has been a strong motivation",25.261,0.0,1,1.0,1,generation_failure,,,,,
dense,85,Which modern criticisms of Ionosphere are NOT addressed in the text?,negated,1,I cannot answer this from the provided context. It plays an important role physics and observations. One of,23.964,1.0,0,1.0,1,success,,,,,
dense,86,Which modern criticisms of Social media marketing are NOT addressed in the text?,negated,1,"I cannot answer this from the provided context. The use of customer influencers, such as popular bloggers can be an efficient and cost-effective method to launch new products or services",28.643,0.0,1,1.0,1,generation_failure,,,,,
dense,87,Which modern criticisms of Co-construction (learning) are NOT addressed in the text?,negated,1,I cannot answer this from the provided context. The focus is on collaborative or partnership working. Wikipedia could also be considered a form of 'co-construction of learning,27.363,1.0,0,1.0,1,success,,,,,
dense,88,Which modern criticisms of Hobohemia are NOT addressed in the text?,negated,2,I cannot answer this from the provided context. The Horologium Oscillatorium is the first modern treatise in which,26.383,0.0,1,0.5,1,generation_failure,,,,,
dense,89,Which modern criticisms of Irrigation are NOT addressed in the text?,negated,1,"I cannot answer this from the provided context. Irrigation water can come from groundwater (extracted from springs or by using wells), from surface water (withdrawn from rivers, lakes or reservoirs) or from non-conventional sources",39.579,1.0,0,1.0,1,success,,,,,
dense,90,Can you explain the concept of C40 Cities Climate Leadership Group in your own words?,paraphrased_adversarial,1,"I cannot answer this from the provided context. Created and led by cities, C40 is focused on fighting the climate crisis and driving urban action that reduces greenhouse gas",29.981,0.026,1,1.0,1,generation_failure,,,,,
dense,91,Can you explain the concept of Instagram in your own words?,paraphrased_adversarial,1,"I cannot answer this from the provided context. It allows users to upload media that can be edited with filters, be organized by hashtags,",24.271,0.0,1,1.0,1,generation_failure,,,,,
dense,92,How would you describe Epistemology to someone who has never heard of it?,paraphrased_adversarial,1,"I cannot answer this from the provided context. Epistemology is the branch of philosophy that examines the nature, origin, and limits of knowledge.",26.176,0.0,1,1.0,1,generation_failure,,,,,
dense,93,Explain the meaning of Kaiserslautern based on the provided text.,paraphrased_adversarial,1,I cannot answer this from the provided context. Kaiserslautern (German pronunciation: [kazslatn,29.258,0.0,1,1.0,1,generation_failure,,,,,
dense,94,Provide a brief overview of what Biomedical engineering entails.,paraphrased_adversarial,1,"The application of engineering principles and design concepts to medicine and biology for healthcare applications (e.g., diagnostic or therapeutic purposes).",22.562,0.0,1,1.0,1,generation_failure,,,,,
dense,95,Describe the nature of Lacertidae using the available information.,paraphrased_adversarial,1,They represent the dominant group of reptiles found in Europe. It is a diverse family with at about 360 species in,29.786,0.08,1,1.0,1,generation_failure,,,,,
dense,96,What is meant by the phrase 'Instagram husband'?,paraphrased_adversarial,1,"An unacknowledged photographer who composes social media posts for someone else, usually a romantic partner.",27.142,0.0,1,1.0,1,generation_failure,,,,,
dense,97,How would you describe Criticism of Facebook to someone who has never heard of it?,paraphrased_adversarial,2,I cannot answer this from the provided context. Facebook has been the subject of criticism and legal action since it was founded in 2004,23.011,0.0,1,0.5,1,generation_failure,,,,,
dense,98,Give me a summary of the information regarding Politics.,paraphrased_adversarial,2,I cannot answer this from the provided context. The branch of social science that studies politics and government is referred to as political science. Polit.,25.83,1.0,0,0.5,1,success,,,,,
dense,99,Describe the nature of Lace using the available information.,paraphrased_adversarial,1,"Lace is a delicate fabric made of yarn or thread in an open weblike pattern, made by machine or by hand.",26.683,0.0,1,1.0,1,generation_failure,,,,,
dense,100,"What is the secret, unpublished password for the Religion system?",unanswerable,1,"I cannot answer this from the provided context. In public-key cryptosystems, the public key may be freely distributed,",24.879,1.0,0,1.0,1,success,,,,,
dense,101,On what exact date will Vocal learning be officially discontinued in the year 2099?,unanswerable,1,"I cannot answer this from the provided context. It will be officially discontinued in the year 2099 on December 31, 2029.",26.254,1.0,0,1.0,1,success,,,,,
dense,102,Which specific individual wrote the 4th sentence of the Chemical industry Wikipedia entry?,unanswerable,0,"I cannot answer this from the provided context. Kathryn Hughes, professor of life writing at the University",23.809,1.0,1,0.0,0,retrieval_failure,,,,,
dense,103,What is the GPS coordinate of the exact center of Facebook Graph Search?,unanswerable,1,I cannot answer this from the provided context. It may be done within a coordinate system or relative to another point (rela),26.517,1.0,0,1.0,1,success,,,,,
dense,104,Which specific individual wrote the 4th sentence of the Indoor practice facility Wikipedia entry?,unanswerable,2,I cannot answer this from the provided context. It's unclear who wrote the 4th sentence of the Indoor practice facility,22.587,1.0,0,0.5,1,success,,,,,
dense,105,Which specific individual wrote the 4th sentence of the Borgia Apartments Wikipedia entry?,unanswerable,1,I cannot answer this from the provided context. The Room of Mysteries holds the fresco cycle representing the mysteries,26.686,1.0,0,1.0,1,success,,,,,
dense,106,What is the GPS coordinate of the exact center of Kalanit?,unanswerable,1,"I cannot answer this from the provided context. GPS only gives heights above the GR magnetic tail, hundreds of Earth radii",25.124,1.0,0,1.0,1,success,,,,,
dense,107,"What is the secret, unpublished password for the Labyrinthitis system?",unanswerable,3,"I cannot answer this from the provided context. The secret, unpublished password for the Labyrinthitis system is a combination of letters and numbers",29.05,1.0,0,0.333,1,context_failure,,,,,
dense,108,"What is the secret, unpublished password for the Spontaneous recovery system?",unanswerable,1,"I cannot answer this from the provided context. The secret, unpublished password for the Spontaneous recovery system is 0000.",25.496,1.0,0,1.0,1,success,,,,,
dense,109,Which specific individual wrote the 4th sentence of the Statistics Wikipedia entry?,unanswerable,1,I cannot answer this from the provided context. The average science entry in Wikipedia cont was written by Gerolamo Car..,24.81,1.0,0,1.0,1,success,,,,,
sparse,0,"Based on the article 'Laboratory', what is the primary definition or role described?",factual,0,I cannot answer this from the provided context. The term usually  implies that judges make rulings based on their own view,26.185,1.0,1,0.0,0,retrieval_failure,1.0,1.0,1.0,1.0,Single-score output from LLM
sparse,1,"Based on the article 'Philosophy', what is the primary definition or role described?",factual,0,I cannot answer this from the provided context. JUDICIAL ACTIVITIES IS A JURICIAL PHILOSOPHY,27.263,1.0,1,0.0,0,retrieval_failure,1.0,1.0,1.0,1.0,Single-score output from LLM
sparse,2,"Based on the article 'Urban evolution', what is the primary definition or role described?",factual,0,"I cannot answer this from the provided context. The primary definition or role described here is to explain why a particular event occurred, refute an existing theory",28.563,1.0,1,0.0,0,retrieval_failure,2.4069767441860463,3.0,3.0,3.0,Single-score output from LLM
sparse,3,"Based on the article 'Hydrocarbon', what is the primary definition or role described?",factual,0,I cannot answer this from the provided context. Hydrocarbon is the primary definition or role described in the article.,24.336,1.0,1,0.0,0,retrieval_failure,1.6888888888888889,2.0,2.0,2.0,1 to 5
sparse,4,"Based on the article 'Kitchenette', what is the primary definition or role described?",factual,0,I cannot answer this from the provided context. The term usually  implies that judges make rulings based on their own view,25.833,1.0,1,0.0,0,retrieval_failure,1.1714285714285713,1.0,1.0,1.0,Single-score output from LLM
sparse,5,"Based on the article 'Imagine (Gal Gadot video)', what is the primary definition or role described?",factual,0,I cannot answer this from the provided context. The primary definition or role described in the article 'Imagine (Gal Gadot video)',31.331,0.0,1,0.0,0,retrieval_failure,1.599395770392749,2.0,2.0,2.0,1 to 5
sparse,6,"Based on the article 'Facebook F8', what is the primary definition or role described?",factual,0,I cannot answer this from the provided context. The primary definition or role described is 'Facebook F8',24.951,1.0,1,0.0,0,retrieval_failure,1.8509803921568626,2.0,2.0,2.0,1 to 5
sparse,7,"Based on the article 'Indoor practice facility', what is the primary definition or role described?",factual,0,"I cannot answer this from the provided context. It's the overall concept, e.g. ""children taking part",24.669,1.0,1,0.0,0,retrieval_failure,1.9369649805447469,2.0,2.0,2.0,1 to 5
sparse,8,"Based on the article 'Labyrinth', what is the primary definition or role described?",factual,0,I cannot answer this from the provided context. The primary definition or role described is a narrator.,25.295,0.0,1,0.0,0,retrieval_failure,1.6049689440993788,2.0,2.0,2.0,1 to 5
sparse,9,"Based on the article 'NAKO Health Study', what is the primary definition or role described?",factual,0,I cannot answer this from the provided context. Judicial activism holds that courts can and should go beyond the applicable law to consider,26.737,0.0,1,0.0,0,retrieval_failure,1.8170403587443946,2.0,2.0,2.0,1 to 5
sparse,10,"Based on the article 'Radio', what is the primary definition or role described?",factual,0,I cannot answer this from the provided context. The primary definition or role described is a broadcaster.,24.834,1.0,1,0.0,0,retrieval_failure,1.7517241379310344,2.0,2.0,2.0,1 to 5
sparse,11,"Based on the article 'Chemistry', what is the primary definition or role described?",factual,0,I cannot answer this from the provided context. The term usually  implies that judges make rulings based on their own view,27.007,1.0,1,0.0,0,retrieval_failure,2.259090909090909,3.0,3.0,3.0,Single-score output from LLM
sparse,12,"Based on the article 'Interval arithmetic', what is the primary definition or role described?",factual,0,I cannot answer this from the provided context. The term usually implies that judges make rulings based on their own view.,24.727,0.0,1,0.0,0,retrieval_failure,1.6384105960264899,2.0,2.0,2.0,1 to 5
sparse,13,"Based on the article 'Drone-Enhanced Emergency Medical Services', what is the primary definition or role described?",factual,0,I cannot answer this from the provided context. Drone-Enhanced Emergency Medical Services is the primary definition or role described,26.181,0.0,1,0.0,0,retrieval_failure,1.8594594594594593,2.0,2.0,2.0,1 to 5
